Tªn Trang BÞ	ItemGenre	DetailType	ParticularType	SPR		Ngang	Däc				Level																																			Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Dßng HiÖn	Dßng Èn	Opt	Opt		Skill	Dßng Cuèi		
Minh Ph­îng Anh Hïng Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	120	39	1									1688	2288	1728	1768	2088	2168	527	554	9	1120	2208	2	9
Minh Ph­îng Anh Hïng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	120	39	1									1688	2368	1728	1808	2088	2168	527	554	10		1670	2	9
Minh Ph­îng B¸ V­¬ng H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck27.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	120	39	1									1688	2408	1728	1848	2128	2168	528	555	1	1142	2208	2	9
Minh Ph­îng B¸ V­¬ng Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap29.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									1688	2248	1728	1768	2088	2815	528	555	2		2740	2	9
Minh Ph­îng B¸ V­¬ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	120	39	1									1688	2328	1728	1888	2088	2168	528	555	3		1670	2	9
Minh Ph­îng B¸ V­¬ng Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle28.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									1688	2288	1728	1768	2088	2168	528	555	4		2788	2	9
Minh Ph­îng B¸ V­¬ng Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash28.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	1									1688	2368	1728	1808	2088	2168	528	555	5	1136	2208	2	9
Minh Ph­îng B¸ V­¬ng Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth29.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									1688	2408	1728	1848	2605	2815	528	555	6	1158	2788	2	9
Minh Ph­îng B¸ V­¬ng B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade28.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	1									2208	2248	1968	2008	2088	2815	528	555	7	2740	1670	2	9
Minh Ph­îng B¸ V­¬ng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes29.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									1688	2328	1728	1888	1928	2168	528	555	8	1154	2208	2	9
Minh Ph­îng B¸ V­¬ng Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist28.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	120	39	1									1688	2288	1728	1768	2088	2168	528	555	9	1148	2208	2	9
Minh Ph­îng B¸ V­¬ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring27.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	120	39	1									1688	2368	1728	1808	2088	2168	528	555	10		1670	2	9
Minh Ph­îng T¶n Hoa Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck29.spr	36	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(1)	4	99999	10	0																						36	120	39	4									1688	2408	1728	1848	2128	2168	529	556	1	1170	2208	2	9
Minh Ph­îng T¶n Hoa Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap23.spr	28	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									1688	2248	1728	1768	2088	2620	529	556	2		2208	2	9
Minh Ph­îng T¶n Hoa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(3)	2	99999	10	0																						36	120	39	4									1688	2328	1728	1888	2088	2168	529	556	3		1670	2	9
Minh Ph­îng T¶n Hoa Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle30.spr	35	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									1688	2288	1728	1768	2088	2168	529	556	4	1182	2788	2	9
Minh Ph­îng T¶n Hoa Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash30.spr	33	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									1688	2368	1728	1808	2088	2168	529	556	5	1164	2208	2	9
Minh Ph­îng T¶n Hoa Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth28.spr	24	2	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									1688	2408	1728	1848	2605	2620	529	556	6	1186	2788	2	9
Minh Ph­îng T¶n Hoa Tr­êng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword27.spr	9	1	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	4									2706	2248	1968	1768	2088	2620	529	556	7		1670	2	9
Minh Ph­îng T¶n Hoa Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes32.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									1688	2328	1728	1888	1928	2168	529	556	8		2208	2	9
Minh Ph­îng T¶n Hoa H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist30.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(9)	1	99999	10	0																						36	120	39	4									1688	2288	1728	1768	2088	2168	529	556	9	1176	2208	2	9
Minh Ph­îng T¶n Hoa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Minh Ph­îng(10)	3	99999	10	0																						36	120	39	4									1688	2368	1728	1808	2088	2168	529	556	10		1670	2	9
Minh Ph­îng L¨ng Tiªu Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck29.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(1)	4	99999	10	0																						36	120	39	4									1688	2408	1728	1848	2128	2168	530	557	1	1198	2208	2	9
Minh Ph­îng L¨ng Tiªu Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap23.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	4									1688	2248	1728	1768	2088	2620	530	557	2		2208	2	9
Minh Ph­îng L¨ng Tiªu Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(3)	2	99999	10	0																						36	120	39	4									1688	2328	1728	1888	2088	2168	530	557	3		1670	2	9
Minh Ph­îng L¨ng Tiªu Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle30.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									1688	2288	1728	1768	2088	2168	530	557	4		2788	2	9
Minh Ph­îng L¨ng Tiªu Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash30.spr	33	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	4									1688	2368	1728	1808	2088	2168	530	557	5	1192	2208	2	9
Minh Ph­îng L¨ng Tiªu Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth28.spr	24	2	3	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	4									1688	2408	1728	1848	2605	2620	530	557	6	1214	2788	2	9
Minh Ph­îng L¨ng Tiªu TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove06.spr	9	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	120	39	4									2726	2248	2448	1768	2088	2620	530	557	7		1670	2	9
Minh Ph­îng L¨ng Tiªu Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes32.spr	27	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	4									1688	2328	1728	1888	1928	2168	530	557	8	1210	2208	2	9
Minh Ph­îng L¨ng Tiªu H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist30.spr	36	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(9)	1	99999	10	0																						36	120	39	4									1688	2288	1728	1768	2088	2168	530	557	9	1204	2208	2	9
Minh Ph­îng L¨ng Tiªu H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Minh Ph­îng(10)	3	99999	10	0																						36	120	39	4									1688	2368	1728	1808	2088	2168	530	557	10		1670	2	9
Minh Ph­îng V¹n Hoa Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck29.spr	36	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(1)	4	99999	10	0																						36	120	39	5									1688	2408	1728	1848	2128	2168	531	558	1	1226	2208	2	9
Minh Ph­îng V¹n Hoa Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap24.spr	28	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	5									1688	2248	1728	1768	2088	2620	531	558	2		2208	2	9
Minh Ph­îng V¹n Hoa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(3)	2	99999	10	0																						36	120	39	5									1688	2328	1728	1888	2088	2168	531	558	3		1670	2	9
Minh Ph­îng V¹n Hoa Tô	0	8	0	\spr\item\equip\bangle\obj-bangle30.spr	35	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	5									1688	2288	1728	1768	2088	2168	531	558	4	1238	2788	2	9
Minh Ph­îng V¹n Hoa Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash30.spr	32	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	5									1688	2368	1728	1808	2088	2168	531	558	5	1220	2208	2	9
Minh Ph­îng V¹n Hoa Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth29.spr	24	2	3	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	5									1688	2408	1728	1848	2605	2620	531	558	6	1242	2788	2	9
Minh Ph­îng V¹n Hoa B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade29.spr	10	1	4	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	5									2706	2248	1968	1768	2088	2620	531	558	7		1670	2	9
Minh Ph­îng V¹n Hoa Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes33.spr	27	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	5									1688	2328	1728	1888	1928	2168	531	558	8		2208	2	9
Minh Ph­îng V¹n Hoa H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist30.spr	36	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(9)	1	99999	10	0																						36	120	39	5									1688	2288	1728	1768	2088	2168	531	558	9	1232	2208	2	9
Minh Ph­îng V¹n Hoa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Minh Ph­îng(10)	3	99999	10	0																						36	120	39	5									1688	2368	1728	1808	2088	2168	531	558	10		1670	2	9
Minh Ph­îng Ph­¬ng Hoa Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck29.spr	36	2	1	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(1)	0	99999	10	0																						36	120	39	5									1688	2408	1728	1848	2128	2168	532	559	1	1254	2208	2	9
Minh Ph­îng Ph­¬ng Hoa Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap24.spr	28	2	2	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	5									1688	2248	1728	1768	2088	2620	532	559	2		2208	2	9
Minh Ph­îng Ph­¬ng Hoa Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(3)	1	99999	10	0																						36	120	39	5									1688	2328	1728	1888	2088	2168	532	559	3		1670	2	9
Minh Ph­îng Ph­¬ng Hoa Tô	0	8	0	\spr\item\equip\bangle\obj-bangle30.spr	35	1	2	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	5									1688	2288	1728	1768	2088	2168	532	559	4		2788	2	9
Minh Ph­îng Ph­¬ng Hoa Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash30.spr	33	2	1	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	5									1688	2368	1728	1808	2088	2168	532	559	5	1248	2208	2	9
Minh Ph­îng Ph­¬ng Hoa Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth29.spr	24	2	3	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	5									1688	2408	1728	1848	2605	2620	532	559	6	1270	2788	2	9
Minh Ph­îng Ph­¬ng Hoa Song §ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd25.spr	14	2	3	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(7)	2	99999	10	0	28	62	62	29	92	92	167	-30	-30	31	99	99										36	120	39	5									2726	2248	2448	1768	2088	2620	532	559	7		1670	2	9
Minh Ph­îng Ph­¬ng Hoa Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes33.spr	27	2	2	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	5									1688	2328	1728	1888	1928	2168	532	559	8	1266	2208	2	9
Minh Ph­îng Ph­¬ng Hoa H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist30.spr	36	1	2	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(9)	3	99999	10	0																						36	120	39	5									1688	2288	1728	1768	2088	2168	532	559	9	1260	2208	2	9
Minh Ph­îng Ph­¬ng Hoa H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring29.spr	37	1	1	Bé trang bÞ Thóy Yªn song ®ao cÊp Minh Ph­îng(10)	4	99999	10	0																						36	120	39	5									1688	2368	1728	1808	2088	2168	532	559	10		1670	2	9
Minh Ph­îng Diªm La H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck28.spr	36	2	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	120	39	3									1688	2408	1728	1848	2128	2168	533	560	1	1282	2208	2	9
Minh Ph­îng Diªm La Ph¸t §¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap30.spr	28	2	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	3									1688	2248	1728	1768	2088	2640	533	560	2		2208	2	9
Minh Ph­îng Diªm La Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	120	39	3									1688	2328	1728	1888	2088	2168	533	560	3		1670	2	9
Minh Ph­îng Diªm La Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle29.spr	34	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	3									1688	2288	1728	1768	2088	2168	533	560	4		2788	2	9
Minh Ph­îng Diªm La Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash29.spr	32	2	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	3									1688	2368	1728	1808	2088	2168	533	560	5	1276	2208	2	9
Minh Ph­îng Diªm La BÝ Trang	0	2	2	\spr\item\equip\armor\obj-ma-cloth30.spr	22	2	3	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	3									1688	2408	1728	1848	2604	2640	533	560	6	1298	2788	2	9
Minh Ph­îng Diªm La TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove07.spr	9	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	3									2725	2248	2568	1768	2088	2640	533	560	7		1670	2	9
Minh Ph­îng Diªm La Hµi	0	5	1	\spr\item\equip\boots\obj-shoes30.spr	26	2	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	3									1688	2328	1728	1888	1928	2168	533	560	8	1294	2208	2	9
Minh Ph­îng Diªm La Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist29.spr	36	1	2	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	120	39	3									1688	2288	1728	1768	2088	2168	533	560	9	1288	2208	2	9
Minh Ph­îng Diªm La H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ Ngò §éc ch­ëng ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	120	39	3									1688	2368	1728	1808	2088	2168	533	560	10		1670	2	9
Minh Ph­îng Minh V­¬ng H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck28.spr	36	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	120	39	3									1688	2408	1728	1848	2128	2168	534	561	1	1310	2208	2	9
Minh Ph­îng Minh V­¬ng §Çu Hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap30.spr	28	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	120	39	3									1688	2248	1728	1768	2088	2640	534	561	2		2208	2	9
Minh Ph­îng Minh V­¬ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	120	39	3									1688	2328	1728	1888	2088	2168	534	561	3		1670	2	9
Minh Ph­îng Minh V­¬ng Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle29.spr	34	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	120	39	3									1688	2288	1728	1768	2088	2168	534	561	4	1322	2788	2	9
Minh Ph­îng Minh V­¬ng Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash29.spr	33	2	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	120	39	3									1688	2368	1728	1808	2088	2168	534	561	5	1304	2208	2	9
Minh Ph­îng Minh V­¬ng Hé Gi¸p	0	2	2	\spr\item\equip\armor\obj-ma-cloth30.spr	22	2	3	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	120	39	3									1688	2408	1728	1848	2604	2640	534	561	6	1326	2788	2	9
Minh Ph­îng Minh V­¬ng B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade30.spr	10	1	4	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	3									2705	2248	1968	2008	2088	2640	534	561	7		1670	2	9
Minh Ph­îng Minh V­¬ng Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes30.spr	26	2	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	120	39	3									1688	2328	1728	1888	1928	2168	534	561	8		2208	2	9
Minh Ph­îng Minh V­¬ng Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist29.spr	36	1	2	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	120	39	3									1688	2288	1728	1768	2088	2168	534	561	9	1316	2208	2	9
Minh Ph­îng Minh V­¬ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ Ngò §éc ®ao ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	120	39	3									1688	2368	1728	1808	2088	2168	534	561	10		1670	2	9
Minh Ph­îng LiÔm DiÖm H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck28.spr	36	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(1)	4	99999	10	0																						36	120	39	2									1688	2408	1728	1848	2128	2168	535	562	1	1338	2208	2	9
Minh Ph­îng LiÔm DiÖm Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap31.spr	28	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									1688	2248	1728	1768	2088	2795	535	562	2	1350	2208	2	9
Minh Ph­îng LiÔm DiÖm Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(3)	2	99999	10	0																						36	120	39	2									1688	2328	1728	1888	2088	2168	535	562	3		1670	2	9
Minh Ph­îng LiÔm DiÖm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle29.spr	34	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(4)	1	99999	10	0	30	135	135	31	80	80																36	120	39	2									1688	2288	1728	1768	2088	2168	535	562	4		2788	2	9
Minh Ph­îng LiÔm DiÖm TriÒn Yªu	0	6	0	\spr\item\equip\sash\obj-sash29.spr	32	2	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(5)	3	99999	10	0	30	160	160	31	80	80																36	120	39	2									1688	2368	1728	1808	2088	2168	535	562	5	1332	2208	2	9
Minh Ph­îng LiÔm DiÖm Gi¸p Y	0	2	3	\spr\item\equip\armor\obj-ma-cloth31.spr	22	2	3	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(6)	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									1688	2408	1728	1848	2604	2795	535	562	6	1354	2788	2	9
Minh Ph­îng LiÔm DiÖm Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart30.spr	15	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(7)	0	99999	10	0	28	44	44	29	100	100	167	-30	-30	31	99	99										36	120	39	2									2708	2248	1968	1768	2088	2795	535	562	7		1670	2	9
Minh Ph­îng LiÔm DiÖm Lý	0	5	1	\spr\item\equip\boots\obj-shoes31.spr	26	2	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(8)	2	99999	10	0	30	160	160	31	80	80																36	120	39	2									1688	2328	1728	1888	1928	2168	535	562	8		2208	2	9
Minh Ph­îng LiÔm DiÖm Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist29.spr	36	1	2	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(9)	1	99999	10	0																						36	120	39	2									1688	2288	1728	1768	2088	2168	535	562	9	1344	2208	2	9
Minh Ph­îng LiÔm DiÖm H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ §­êng M«n phi ®ao cÊp Minh Ph­îng(10)	3	99999	10	0																						36	120	39	2									1688	2368	1728	1808	2088	2168	535	562	10		1670	2	9
Minh Ph­îng Thiªn Hoang H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck28.spr	36	2	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(1)	4	99999	10	0																						36	120	39	2									1688	2408	1728	1848	2128	2168	536	563	1	1338	2208	2	9
Minh Ph­îng Thiªn Hoang Qu¸n	0	7	2	\spr\item\equip\cap\obj-ma-cap31.spr	28	2	2	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(2)	0	99999	10	0	30	360	360	31	85	85																36	120	39	2									1688	2248	1728	1768	2088	2795	536	563	2		2208	2	9
Minh Ph­îng Thiªn Hoang Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring28.spr	37	1	1	Bé trang bÞ §­êng M«n ná tiÔn cÊp Minh Ph­îng(3)	2	99999	10	0																						36	120	39	2									1688	2328	1728	1888	2088	2168	536	563	3		1670	2	9
